sample_id,location,stage,year,day,number
ob_1,oude_beek,third_instar,1,133,350
ob_1,oude_beek,third_instar,1,134,355
ob_1,oude_beek,third_instar,1,135,359
ob_1,oude_beek,third_instar,1,136,364
ob_1,oude_beek,third_instar,1,137,368
ob_1,oude_beek,third_instar,1,138,372
ob_1,oude_beek,third_instar,1,139,375
ob_1,oude_beek,third_instar,1,140,377
ob_1,oude_beek,third_instar,1,141,377
ob_1,oude_beek,third_instar,1,142,375
ob_1,oude_beek,third_instar,1,143,373
ob_1,oude_beek,third_instar,1,144,371
ob_1,oude_beek,third_instar,1,145,317
ob_1,oude_beek,third_instar,1,146,314
ob_1,oude_beek,third_instar,1,147,311
ob_1,oude_beek,third_instar,1,148,309
ob_1,oude_beek,third_instar,1,149,306
ob_1,oude_beek,third_instar,1,150,303
ob_1,oude_beek,third_instar,1,151,300
ob_1,oude_beek,third_instar,1,152,298
ob_1,oude_beek,third_instar,1,153,295
ob_1,oude_beek,third_instar,1,154,293
ob_1,oude_beek,third_instar,1,155,249
ob_1,oude_beek,third_instar,1,156,246
ob_1,oude_beek,third_instar,1,157,245
ob_1,oude_beek,third_instar,1,158,246
ob_1,oude_beek,third_instar,1,159,247
ob_1,oude_beek,third_instar,1,160,247
ob_1,oude_beek,third_instar,1,161,248
ob_1,oude_beek,third_instar,1,162,249
ob_1,oude_beek,third_instar,1,163,250
ob_1,oude_beek,third_instar,1,164,251
ob_1,oude_beek,third_instar,1,165,251
ob_1,oude_beek,third_instar,1,166,252
ob_1,oude_beek,third_instar,1,167,253
ob_1,oude_beek,third_instar,1,168,253
ob_1,oude_beek,third_instar,1,169,254
ob_1,oude_beek,third_instar,1,170,255
ob_1,oude_beek,third_instar,1,171,256
ob_1,oude_beek,third_instar,1,172,256
ob_1,oude_beek,third_instar,1,173,257
ob_1,oude_beek,third_instar,1,174,258
ob_1,oude_beek,third_instar,1,175,258
ob_1,oude_beek,third_instar,1,176,259
ob_1,oude_beek,third_instar,1,177,261
ob_1,oude_beek,third_instar,1,178,263
ob_1,oude_beek,third_instar,1,179,263
ob_1,oude_beek,third_instar,1,180,263
ob_1,oude_beek,third_instar,1,181,263
ob_1,oude_beek,third_instar,1,182,263
ob_1,oude_beek,third_instar,1,183,262
ob_1,oude_beek,third_instar,1,184,262
ob_1,oude_beek,third_instar,1,185,262
ob_1,oude_beek,third_instar,1,186,261
ob_1,oude_beek,third_instar,1,187,261
ob_1,oude_beek,third_instar,1,188,261
ob_1,oude_beek,third_instar,1,189,260
ob_1,oude_beek,third_instar,1,190,259
ob_1,oude_beek,third_instar,1,191,257
ob_1,oude_beek,third_instar,1,192,256
ob_1,oude_beek,third_instar,1,193,254
ob_1,oude_beek,third_instar,1,194,252
ob_1,oude_beek,third_instar,1,195,251
ob_1,oude_beek,third_instar,1,196,249
ob_1,oude_beek,third_instar,1,197,248
ob_1,oude_beek,third_instar,1,198,246
ob_1,oude_beek,third_instar,1,199,245
ob_1,oude_beek,third_instar,1,200,244
ob_1,oude_beek,third_instar,1,201,242
ob_1,oude_beek,third_instar,1,202,239
ob_1,oude_beek,third_instar,1,203,236
ob_1,oude_beek,third_instar,1,204,235
ob_1,oude_beek,third_instar,1,205,236
ob_1,oude_beek,third_instar,1,206,236
ob_1,oude_beek,third_instar,1,207,237
ob_1,oude_beek,third_instar,1,208,237
ob_1,oude_beek,third_instar,1,209,238
ob_1,oude_beek,third_instar,1,210,239
ob_1,oude_beek,third_instar,1,211,239
ob_1,oude_beek,third_instar,1,212,240
ob_1,oude_beek,third_instar,1,213,240
ob_1,oude_beek,third_instar,1,214,243
ob_1,oude_beek,third_instar,1,215,246
ob_1,oude_beek,third_instar,1,216,247
ob_1,oude_beek,third_instar,1,217,245
ob_1,oude_beek,third_instar,1,218,239
ob_1,oude_beek,third_instar,1,219,232
ob_1,oude_beek,third_instar,1,220,224
ob_1,oude_beek,third_instar,1,221,216
ob_1,oude_beek,third_instar,1,222,208
ob_1,oude_beek,third_instar,1,223,201
ob_1,oude_beek,third_instar,1,224,195
ob_1,oude_beek,third_instar,1,225,188
ob_1,oude_beek,third_instar,1,226,182
ob_1,oude_beek,third_instar,1,227,175
ob_1,oude_beek,third_instar,1,228,169
ob_1,oude_beek,third_instar,1,229,163
ob_1,oude_beek,third_instar,1,230,157
ob_1,oude_beek,third_instar,1,231,151
ob_1,oude_beek,third_instar,1,232,145
ob_1,oude_beek,third_instar,1,233,140
ob_1,oude_beek,third_instar,1,234,88
ob_1,oude_beek,third_instar,1,235,85
ob_1,oude_beek,third_instar,1,236,82
ob_1,oude_beek,third_instar,1,237,79
ob_1,oude_beek,third_instar,1,238,76
ob_1,oude_beek,third_instar,1,239,73
ob_1,oude_beek,third_instar,1,240,70
ob_1,oude_beek,third_instar,1,241,68
ob_1,oude_beek,third_instar,1,242,65
ob_1,oude_beek,third_instar,1,243,62
ob_1,oude_beek,third_instar,1,244,59
ob_1,oude_beek,third_instar,1,245,57
ob_1,oude_beek,third_instar,1,246,54
ob_1,oude_beek,third_instar,1,247,51
ob_1,oude_beek,third_instar,1,248,48
ob_1,oude_beek,third_instar,1,249,44
ob_1,oude_beek,third_instar,1,250,41
ob_1,oude_beek,early_fourth_instar,1,1,0
ob_1,oude_beek,early_fourth_instar,1,2,0
ob_1,oude_beek,early_fourth_instar,1,3,0
ob_1,oude_beek,early_fourth_instar,1,4,0
ob_1,oude_beek,early_fourth_instar,1,5,0
ob_1,oude_beek,early_fourth_instar,1,6,0
ob_1,oude_beek,early_fourth_instar,1,7,0
ob_1,oude_beek,early_fourth_instar,1,8,0
ob_1,oude_beek,early_fourth_instar,1,9,0
ob_1,oude_beek,early_fourth_instar,1,10,0
ob_1,oude_beek,early_fourth_instar,1,11,0
ob_1,oude_beek,early_fourth_instar,1,12,0
ob_1,oude_beek,early_fourth_instar,1,13,0
ob_1,oude_beek,early_fourth_instar,1,14,0
ob_1,oude_beek,early_fourth_instar,1,15,0
ob_1,oude_beek,early_fourth_instar,1,16,0
ob_1,oude_beek,early_fourth_instar,1,17,0
ob_1,oude_beek,early_fourth_instar,1,18,0
ob_1,oude_beek,early_fourth_instar,1,19,0
ob_1,oude_beek,early_fourth_instar,1,20,0
ob_1,oude_beek,early_fourth_instar,1,21,0
ob_1,oude_beek,early_fourth_instar,1,22,0
ob_1,oude_beek,early_fourth_instar,1,23,0
ob_1,oude_beek,early_fourth_instar,1,24,0
ob_1,oude_beek,early_fourth_instar,1,25,0
ob_1,oude_beek,early_fourth_instar,1,26,0
ob_1,oude_beek,early_fourth_instar,1,27,0
ob_1,oude_beek,early_fourth_instar,1,28,0
ob_1,oude_beek,early_fourth_instar,1,29,0
ob_1,oude_beek,early_fourth_instar,1,30,0
ob_1,oude_beek,early_fourth_instar,1,31,0
ob_1,oude_beek,early_fourth_instar,1,32,0
ob_1,oude_beek,early_fourth_instar,1,33,0
ob_1,oude_beek,early_fourth_instar,1,34,0
ob_1,oude_beek,early_fourth_instar,1,35,0
ob_1,oude_beek,early_fourth_instar,1,36,0
ob_1,oude_beek,early_fourth_instar,1,37,0
ob_1,oude_beek,early_fourth_instar,1,38,0
ob_1,oude_beek,early_fourth_instar,1,39,0
ob_1,oude_beek,early_fourth_instar,1,40,0
ob_1,oude_beek,early_fourth_instar,1,41,0
ob_1,oude_beek,early_fourth_instar,1,42,0
ob_1,oude_beek,early_fourth_instar,1,43,0
ob_1,oude_beek,early_fourth_instar,1,44,0
ob_1,oude_beek,early_fourth_instar,1,45,0
ob_1,oude_beek,early_fourth_instar,1,46,0
ob_1,oude_beek,early_fourth_instar,1,47,0
ob_1,oude_beek,early_fourth_instar,1,48,0
ob_1,oude_beek,early_fourth_instar,1,49,0
ob_1,oude_beek,early_fourth_instar,1,50,0
ob_1,oude_beek,early_fourth_instar,1,51,0
ob_1,oude_beek,early_fourth_instar,1,52,0
ob_1,oude_beek,early_fourth_instar,1,53,0
ob_1,oude_beek,early_fourth_instar,1,54,0
ob_1,oude_beek,early_fourth_instar,1,55,0
ob_1,oude_beek,early_fourth_instar,1,56,0
