feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.5_mz-628.8734,3144,3116,3530,3454,2022,2578,2608,2952,2050,2228,2364,2070,3218,3252,3878,3802,3018,2840,3522,3178,3224,3096,3662,4324,2106,2074,2334,2348,3560,3326,3744,3638
rt-0.5_mz-629.87502,958,998,928,1372,750,782,768,720,668,858,768,634,840,998,968,1130,876,1182,898,1004,906,728,1036,1152,758,1018,824,788,940,1002,1010,1120
rt-0.5_mz-682.88249,1032,1048,634,524,860,840,960,562,712,472,230,428,954,472,562,430,398,398,322,104,532,1026,530,880,226,642,282,484,960,978,494,594
rt-0.5_mz-748.87112,1402,1220,1414,1142,1830,1632,1380,1456,568,434,564,716,1452,804,718,518,536,904,506,266,1456,2050,918,1214,598,476,808,440,1398,1592,672,1312
rt-0.61_mz-320.86916,1022,2346,726,2102,5256,3092,5208,2184,16406,22964,15904,18216,464,2260,320,1186,2954,1100,822,2192,260,318,362,216,14270,22236,15698,15748,316,380,366,248
rt-0.61_mz-432.99986,0,0,0,0,0,0,0,0,600,496,1238,484,0,0,0,0,0,0,0,0,0,0,0,0,1310,940,1656,874,0,0,0,0
rt-0.61_mz-598.85465,1158,1822,898,1544,2740,1880,2680,1498,2550,3522,3430,3956,1070,1966,858,1404,1964,1552,1430,2400,536,864,526,542,2422,3260,3014,2360,1234,670,666,796
rt-0.61_mz-644.83213,1736,2690,1018,2438,2658,2512,3398,1796,2850,2890,2238,3708,1600,2008,1344,1872,2690,1646,1512,2694,770,960,576,744,2722,2958,3356,3374,1226,1434,842,602
rt-0.62_mz-290.84715,0,0,0,0,0,0,0,0,484,812,578,1854,0,0,0,0,0,0,0,0,0,0,0,0,786,1950,1412,2692,0,0,0,0
rt-0.62_mz-309.07887,0,0,0,0,0,0,0,0,400,222,928,838,0,0,0,0,0,0,0,0,0,0,0,0,1026,762,2550,1526,0,0,0,0
rt-0.62_mz-332.92198,1994,3246,2210,2874,4374,3352,4954,4526,4110,5020,4956,10664,966,3308,1108,2722,2508,1782,2050,3090,772,1276,818,1158,5298,8448,11882,13376,1450,1076,1008,988
rt-0.62_mz-426.82205,0,0,0,0,0,0,0,0,198,424,342,1380,0,0,0,0,0,0,0,0,0,0,0,0,486,1072,1210,2454,0,0,0,0
